ו,وَ
או,أَوْ
אבל,لَكِنْ
כי,لِأَنَّ
אם,إِذَا
אז,إِذًا
לכן,لِذٰلِكَ
עם זאת,مَعَ ذٰلِكَ
בנוסף,بِالإِضَافَةِ إِلَى ذٰلِكَ
גם,أَيْضًا
רק,فَقَطْ
אפילו,حَتَّى
כדי,لِكَيْ
כאשר,عِنْدَمَا
מאחר ש,بِمَا أَنَّ
אף על פי ש,رَغْمَ أَنَّ
לעומת זאת,عَلَى النَّقِيضِ
מצד אחד,مِنْ جِهَةٍ
מצד שני,مِنْ جِهَةٍ أُخْرَى
בגלל,بِسَبَبِ
לפני ש,قَبْلَ أَنْ
אחרי ש,بَعْدَ أَنْ
בזמן ש,أَثْنَاءَ
עד ש,حَتَّى
כמו כן,كَذٰلِكَ
כלומר,أَيْ
לדוגמה,مِثْلًا
בסופו של דבר,فِي النِّهَايَةِ
בקיצור,بِاخْتِصَارٍ
לעיתים,أَحْيَانًا
בדרך כלל,عَادَةً
במיוחד,خَاصَّةً
בעיקר,خُصُوصًا
למעשה,فِي الْوَاقِعِ
בינתיים,فِي هٰذَا الْوَقْتِ