מָה שלומך,¿Cómo estás?
בּבַקָשָה,Por favor
סלִיחָה,Lo siento
אֶין בּעַד מָה,De nada
רֶגַע אֶחָד,Un momento
כַּמוּבָן,Por supuesto
אוּלַי,Quizás
בֶּטַח,Claro
מִיָד,Enseguida
לא עַכשָיו,Ahora no
אַחַר כָּך,Más tarde
כָּאן-פּה,Aquí
שָם,Allí
הַיום,Hoy
מָחָר,Mañana
אֶתמול,Ayer
להִתרָאות,Adiós
נדַבֶּר אַחַר כָּך,Hablamos luego
אָנִי בַּדֶרֶך,Estoy en camino
אָנִי מַגִיעַ,Ya llego
אָנִי יוצֶא,Me voy
חַכֶּה רֶגַע,Espera un momento
לא נורָא,No pasa nada
זֶה קורֶה,Pasa
אֶין לִי כּוחַ,Estoy cansado
זֶה נָכון,Es correcto
אָנִי מַסכִּים,Estoy de acuerdo
נִראֶה לִי,Me parece