אִישוּר,poświadczenie
לאָשֶר,potwierdzić
הָבָּקָשָה מאוּשֶרֶת,wniosek jest zatwierdzony
מאוּשָר = שָׂמֶחָ,potwierdzony = zadowolony
אָנִי לא מָרשֶה,nie pozwalam
אָנִי מָרשֶה לךָ,pozwalam ci
אָנִי לא מָרשֶה לךָ להִיכָּנֶס לָמִשׂרָד שֶלִי,nie pozwalam ci wejść do mojego biura
אָסוּר,zabronione
אָסוּר לעָשֶן,zakaz palenia
למָלֶא אֶת הָטופֶס ולָחתום,wypełnić formularz i podpisać
לָחָכות בָּתור,czekać w kolejce
מִספָּרךָ בָּתור,twój numer w kolejce
רֶאָיון עָבודָה,rozmowa kwalifikacyjna
להָגִיש בָּקָשָה,złożyć wniosek
הָבָּקָשָה נִדחֶתה,wniosek został odrzucony
לבָטֶל בָּקָשָה,anulować wniosek
לָחתום עָל מִסמָך,podpisać dokument
להָצִיג תעוּדָה,okazać dokument
לָחָכות\להָמתִין בָּתור,czekać w kolejce
קָבָּלָה,paragon
למָלֶא פּרָטִים,wypełnić dane
לבָקֶש רֶשוּת,poprośić o pozwolenie
להִיכָּנֶס,wchodzić
לָצֶאת,wychodzić
שעות פּתִיחָה,godziny otwarcia
שעות קָבָּלָה,godziny przyjęć