גָדול,duży
קצָת גָדול,trochę duży
יותֶר גָדול,większy
הָכִי גָדול,największy
גָדול מאוד,bardzo duży
גָדול מִדָי,za duży
פָּחות גָדול,mniej duży
יָפֶה,ładny
יותֶר יָפֶה,ładniejszy
הָכִי יָפֶה,najładniejszy
יָפֶה מאוד,bardzo ładny
יָפֶה מִדָי,za ładny
פָּחות יָפֶה,mniej ładny
קָטָן,mały
קצָת קָטָן,trochę mały
יותֶר קָטָן,mniejszy
הָכִי קָטָן,najmniejszy
קָטָן מאוד,bardzo mały
קָטָן מִדָי,za mały
פָּחות קָטָן,mniej mały
לָבָן,biały
קצָת לָבָן,trochę biały
יותֶר לָבָן,bielszy
הָכִי לָבָן,najbielszy
לָבָן מאוד,bardzo biały
לָבָן מִדָי,za biały
פָּחות לָבָן,mniej biały
קָל,łatwy
יותֶר קָל,łatwiejszy
הָכִי קָל,najłatwiejszy
קָל מאוד,bardzo łatwy
קָל מִדָי,za łatwy
פָּחות קָל,mniej łatwy
קָשֶה,trudny
קצָת קָשֶה,trochę trudny
יותֶר קָשֶה,trudniejszy
הָכִי קָשֶה,najtrudniejszy
קָשֶה מאוד,bardzo trudny
קָשֶה מִדָי,za trudny
פָּחות קָשֶה,mniej trudny
אָרוך,długi
קצָת אָרוך,trochę długi
יותֶר אָרוך,dłuższy
הָכִי אָרוך,najdłuższy
אָרוך מאוד,bardzo długi
אָרוך מִדָי,za długi
פָּחות אָרוך,mniej długi
קָצָר,krótki
קצָת קָצָר,trochę krótki
יותֶר קָצָר,krótszy
הָכִי קָצָר,najkrótszy
קָצָר מאוד,bardzo krótki
קָצָר מִדָי,za krótki
פָּחות קָצָר,mniej krótki