אופָנָיים,rower
אופָנָיים חָשמָלִיות,rower elektryczny
מָנועָ,silnik
אופָנָיים + מָנועָ = אופנועָ,rower + silnik = motocykl
אופָנָיים + מָנועָ קָטָן = קָטנועָ,rower + mały silnik = skuter
רֶכֶב,pojazd
מונִית,taksówka
מָשָׂאִית,ciężarówka
מכונִית,samochód
נסִיעָה,przejazd
לָעָשׂות רִישָיון נהִיגָה,zrobić prawo jazdy
הֶגֶה,kierownica
גָלגָלִים,koła
מושָבִים,siedzenia
לכָוֶן אֶת הָמושָב,ustawić siedzenie
לכָוֶן אֶת הָמָראות,ustawić lusterka
חָגורָת בּטִיחוּת,pas bezpieczeństwa
לָתֶת טרֶמפּ,dać podwózkę
לָקָחָת טרֶמפּ,wziąć podwózkę
לָתֶת גָז \ לָשִׂים גָז,dodać \ nacisnąć gaz
אָל תִסָע מָהֶר,nie jedź szybko
אָל תָעָקוף מִיָמִין,nie wyprzedzaj z prawej
לָמָה אָתָה לא מאותֶת,dlaczego nie włączasz kierunkowskazu
תִצפּור לו שֶיָזוּז,zatrąb żeby się ruszył