לָעָזוב או לא לָעָזוב,opuścić czy nie opuścić
נִמאָס לִי אָנִי עוזֶב אֶת הָאָרֶץ,mam dość wyjeżdżam z kraju
כָּל חודשָיים אָתָה מָחלִיט לָעָבור יָבֶּשֶת,co dwa miesiące decydujesz się przenieść na inny kontynent
בָּפָּעָם הָקודֶמֶת זֶה הָיָה ניוּ זִילָנד,ostatnio to była Nowa Zelandia
אֶירופָּה מסוּדֶרֶת אָבָל גָם שָם לא הָכּול וָרוד,Europa jest uporządkowana ale nie wszystko tam jest różowe
אָתָה תִתגָעגֶעָ לפָלָאפֶל יִשׂראֶלִי אָחָרֶי יומָיים,zatęsknisz za izraelskim falafelem po dwóch dniach
לפָחות הָשׂכִירוּת לא קורָעָת אֶת הָכִּיס,przynajmniej czynsz nie rujnuje kieszeni
אָנָשִים לא עוקפִים בָּתור,ludzie nie wciskają się w kolejkę
אֶיך תִסתָדֶר בּלִי זֶה,jak sobie poradzisz bez tego
זו אוּמָנוּת יִשׂרָאֶלִית מָסורָתִית,to tradycyjna izraelska sztuka
בָּחורֶף אָתָה מָרגִיש כּמו תָפּוּחָ אָדָמָה בָּמָרתֶף,zimą czujesz się jak ziemniak w piwnicy
אָנִי כָּל הָזמָן רודֶף אָחָרֶי הָזָנָב שֶל עָצמִי,ciągle gonię za własnym ogonem
גָם אָנִי חָשָבתִי כָּכָה כּשֶגָרתִי בּיִשׂרָאֶל,też tak myślałem kiedy mieszkałem w Izraelu
אָחָרֶי כָּמָה זמָן בּחוּ״ל מָתחִילִים להִתגָעגֶעָ,po jakimś czasie za granicą zaczyna się tęsknić
אָנָשִים מִתעָרבִים לךָ בָּחָיים וזֶה יָכול להָצִיק,ludzie wtrącają się w twoje życie i to może denerwować
תָחשוב עָל הָילָדִים שֶיִהיוּ לךָ,pomyśl o dzieciach które będziesz mieć
אֶיזֶה עָתִיד יֶש לָהֶם בּיִשׂרָאֶל עִם הָמִלחָמות,jaką przyszłość mają w Izraelu z tymi wojnami
עָתִיד טוב או לא טוב יָכול לִהיות בּכָל מָקום,dobra albo zła przyszłość może być wszędzie
הֶם יִגדֶלוּ עִם עִברִית,będą dorastać z hebrajskim
סָבתָא שֶמכִינָה אוכֶל בֶּיתִי אָמיתי,babcia która przygotowuje prawdziwe domowe jedzenie