בדיוק אָנִי חוזֶר עִם נָהָג,Właśnie wracam z kierowcą
הָנָהָג כּועֶס עָל הָכּול,Kierowca jest zły na wszystko
נִמאָס לִי לִשמועָ אותו,Mam dość słuchania go
אָנָחנוּ רָק בָּהָתחָלָת הָנסִיעָה,Jesteśmy dopiero na początku podróży
אָנִי שָׂם אֶת הָאוזנִיות ונִכנָס לָעולָם שֶלִי,Zakładam słuchawki i wchodzę do swojego świata
אָנִי יודֶעָ שֶלא קָל לִחיות איתי,Wiem że niełatwo ze mną żyć
אָנִי נָעָשָׂה מרוּחָק כּשֶמִישֶהוּ מעָצבֶּן אותִי,Staję się zdystansowany kiedy ktoś mnie denerwuje
יֶש אָנָשִים שֶפָּשוּט מדָבּרִים יותֶר מִדָי,Niektórzy ludzie po prostu za dużo mówią
הָרבֶּה שִׂיחות לא מעָניֶנות אותִי,Wiele rozmów mnie nie interesuje
עָכשָיו אָנִי מֶבִין לָמָה אָנִי עָדָיין לבָד,Teraz rozumiem dlaczego wciąż jestem sam
לִפעָמִים עָדִיף לא להָבִין הָכּול,Czasami lepiej nie rozumieć wszystkiego
הָעִיר הָעָתִיקָה הָיתָה רֶיקָה,Stare miasto było puste
לא הָיָה אָף אֶחָד בָּרֶחוב,Na ulicy nie było nikogo
זֶה הִרגִיש מוּזָר,To było dziwne uczucie
יָשָנתִי כִּמעָט כּל הָדֶרֶך,Przespałem prawie całą drogę
טֶכנולוגיָה פּותָחָת אֶפשָרוּיות חָדָשות,Technologia otwiera nowe możliwości
טֶכנולוגיָה משָנָה אֶיך אָנָחנוּ רואִים אֶת הָעולָם,Technologia zmienia to jak widzimy świat
עָכשָיו סִיָמתִי לָעָבוד,Właśnie skończyłem pracę
הָגוּף שֶלִי מָרגִיש עָיֶף וכָּבֶד,Moje ciało czuje się zmęczone i ciężkie
לִפעָמִים הָגוּף צָרִיך מנוּחָה ולא פּעוּלָה,Czasami ciało potrzebuje odpoczynku nie działania
לִפנֶי שֶאָתָה יוצֶר מָשֶהוּ אָתָה צָרִיך להָרגִיש,Zanim coś stworzysz musisz poczuć
אָנִי בֶּאמֶת לא יודֶעָ מָה אָנִי רוצֶה עָכשָיו,Tak naprawdę nie wiem czego teraz chcę
אָנִי מָרגִיש מבוּלבָּל,Czuję się zagubiony
אָנִי צָרִיך שִנוּי,Potrzebuję zmiany
בּקָרוב אָנִי עובֶר לדִירָה חָדָשָה,Wkrótce przeprowadzam się do nowego mieszkania
הָשִנוּי הָזֶה גורֶם לִי לָחשוב הָרבֶּה,Ta zmiana daje mi dużo do myślenia
לִפעָמִים שִנוּי מָקום עוזֶר,Czasami zmiana miejsca pomaga
אָנִי רָק רוצֶה קצָת שָלוָה,Chcę po prostu trochę spokoju
אָנִי צָרִיך מֶרחָב לעָצמִי,Potrzebuję przestrzeni dla siebie
אָנִי מאוּשָר אָפִלוּ כּשֶאָנִי בּוכֶה,Jestem szczęśliwy nawet kiedy płaczę